2021,Spring,Gurren Lagann,My Next Life as a Villianess: All Routes Lead to Doom!,Spice & Wolf,Asobi Asobase
2020,Fall,Cromartie High School,Toradora!,Bunny Girl Senpai,Excel Saga
2020,Spring,The Hero Is Overpowered but Overly Cautious,Cop Craft,Re:Creators,Vinland Saga
2019,Fall,Martian Successor Nadesico,Made in Abyss,Rise of the Shield Hero,Black Butler BoS
2019,Spring,Happy Sugar Life,Princess Principal,The Pet Girl of Sakurasou,Re:Zero
2018,Fall,Nanbaka,Guggure Kokkuri,Ancient Magus Bride,Violet Evergarden
2018,Spring,Ouran High School Host Club,Konosuba,Saga of Tanya the Evil,Death Parade
2017,Fall,Mushishi,Hozuki's Cool Headedness,Kiznaiver,Nichijou
2017,Spring,Sakamoto,Haikyuu ,Anohana,Gankutsuo
2016,Fall,Fate/Zero,Bakemonogatari,Guilty Crown,Erased
2016,Spring,Madoka Magica,Your Lie in April,Paranorma Agent,Solty Rei
2015,Fall,Tsuritama,Stardust Crusaders,Chuunibyou Koi Demo Ga Kita,Log Horizon
2015,Spring,JoJo S1,Pengiun Drum,Devil is a Parttimer,Princess Jellyfish
2014,Fall,Omineko,Is this a Zombie?,Dusk Maiden of Amnesia,Akikan
2014,Spring,Humanity has Declined,Ika Musume,Dennou Coil,Bodacious Space Pirates
2013,Fall,Fate/Stay Night,Another,Darker Than Black,Girls Und Panzer
2013,Spring,Steins: Gate,Go Sick,NukuNuku TV,Infinite Stratos
2012,Fall,Ten Tenchi Muyo gxp,The World Only God Knows, Haiyore! Nyaruko-san,Brave 10
2012,Spring,Bamboo Blade,Spice and Wolf,Devil May Cry,Black Bulter
